Gene,Degree Centrality
Rps11,0.0517440899322202
Ctnnb1,0.03769218052570673
Akt1,0.03537774838816333
Prkacb,0.034385848900644736
Prkaca,0.034385848900644736
Mrpl4,0.033724582575632336
Rpl13,0.03256736650686064
Mrpl2,0.030914200694329638
Snrpd1,0.022813688212927754
Cdc20,0.022483055050421558
Cd44,0.022317738469168458
Polr2e,0.022317738469168458
Traf6,0.021987105306662258
Gnai3,0.02016862291287816
Ndufs3,0.019507356587865763
Ddx18,0.018184823937840964
Cox5a,0.018184823937840964
Mapk14,0.017688874194081664
Emg1,0.017027607869069268
Il4,0.01653165812530997
Nob1,0.01620102496280377
Pparg,0.01620102496280377
Mrpl49,0.015043808894032071
Tgfb1,0.014713175731525871
Sf3a1,0.014547859150272771
Utp20,0.014382542569019672
Ikbkg,0.014051909406513472
Ccl2,0.013886592825260374
App,0.013721276244007274
Crnkl1,0.013721276244007274
Kit,0.013390643081501074
Ndufa11,0.013390643081501074
Prpf6,0.012894693337741774
Cdh1,0.012894693337741774
Cwc15,0.012729376756488674
Ppan,0.012564060175235574
Mrpl10,0.012398743593982476
Igf1r,0.012398743593982476
Gtf2f1,0.011902793850223177
Eif3g,0.011902793850223177
Cdc45,0.011737477268970077
Ddx56,0.011737477268970077
Aprt,0.011737477268970077
Pole,0.011406844106463877
Lsm2,0.011406844106463877
Gtf2h4,0.011241527525210779
Kat2b,0.011241527525210779
Cs,0.011241527525210779
Ddx3x,0.011241527525210779
Sod2,0.011076210943957679
Med29,0.011076210943957679
Rpa1,0.011076210943957679
Ranbp2,0.010910894362704579
Med25,0.010910894362704579
Raf1,0.01058026120019838
Hk2,0.01058026120019838
Qars1,0.01041494461894528
Itgb2,0.01041494461894528
Ppp2r1a,0.01041494461894528
Psmd2,0.01024962803769218
Dnmt1,0.01008431145643908
Zmat2,0.01008431145643908
Vav1,0.01008431145643908
Cdk4,0.009753678293932882
Ercc1,0.009588361712679782
Mcm7,0.009588361712679782
Psmb4,0.009423045131426682
Ptpn6,0.009423045131426682
Msh6,0.009257728550173582
Aox1,0.009257728550173582
Sdhd,0.009257728550173582
Pola1,0.009092411968920482
Nt5c1b,0.008927095387667382
Brd4,0.008761778806414282
Bcas2,0.008761778806414282
Ngfr,0.008761778806414282
Ccl11,0.008596462225161184
Cdt1,0.008596462225161184
Ykt6,0.008431145643908084
Rem1,0.008265829062654984
Stx1a,0.008265829062654984
Col1a1,0.008265829062654984
Map2k1,0.008265829062654984
Ccl3,0.008100512481401884
Eif1b,0.007935195900148784
Il7r,0.007935195900148784
Pabpc1,0.0077698793188956845
Pwp1,0.007604562737642585
Braf,0.007604562737642585
Irf3,0.007604562737642585
Rab8a,0.007604562737642585
Dbt,0.007273929575136386
Supt6,0.007273929575136386
Sp1,0.007108612993883286
G6pdx,0.007108612993883286
Top3a,0.007108612993883286
Gna12,0.007108612993883286
Calr,0.007108612993883286
Ulk2,0.006943296412630187
Itgb2l,0.006943296412630187
Rrp15,0.006777979831377087
Ddx23,0.006777979831377087
Napa,0.006612663250123987
Acat2,0.006447346668870887
Atp6v1b2,0.006447346668870887
Jup,0.006447346668870887
Ap2m1,0.006447346668870887
Smarcb1,0.006447346668870887
Ftcd,0.006447346668870887
Crkl,0.006447346668870887
Atp6v1f,0.006447346668870887
Atp6v1b1,0.006282030087617787
Kpnb1,0.006282030087617787
Cyp2c29,0.006282030087617787
Spi1,0.006282030087617787
Rtca,0.006282030087617787
Th,0.006116713506364688
Rec8,0.006116713506364688
Apoh,0.006116713506364688
Ctr9,0.006116713506364688
Mcts1,0.005951396925111588
Fgfr4,0.005951396925111588
Ncoa2,0.005786080343858488
Actr2,0.005786080343858488
Sst,0.005620763762605389
Cct3,0.005620763762605389
G6pc2,0.005620763762605389
Ampd3,0.005620763762605389
Itgb7,0.0054554471813522895
Dnajb1,0.0054554471813522895
Smo,0.0054554471813522895
Hmox1,0.0054554471813522895
Gmpr2,0.0054554471813522895
Kmt2a,0.0054554471813522895
Gmpr,0.0054554471813522895
Map2k7,0.0054554471813522895
Gys1,0.00529013060009919
Chmp2a,0.00529013060009919
Uba1,0.00529013060009919
Shh,0.00529013060009919
Bid,0.00529013060009919
Eno2,0.00529013060009919
Tgfbr1,0.00512481401884609
Paxip1,0.00512481401884609
Ocrl,0.00495949743759299
Fasl,0.00495949743759299
Rdx,0.00495949743759299
Timmdc1,0.00495949743759299
C1d,0.00495949743759299
Lipe,0.00495949743759299
Ap2a2,0.004794180856339891
Chmp2b,0.004794180856339891
Adh1,0.004794180856339891
Pip4k2a,0.004794180856339891
Ggt1,0.004794180856339891
Adh5,0.004794180856339891
Snrnp27,0.004628864275086791
Smpd4,0.004628864275086791
Wars2,0.004628864275086791
Epor,0.004628864275086791
Paf1,0.004628864275086791
Hck,0.004628864275086791
Wnt3,0.004628864275086791
Sin3b,0.004463547693833691
Tiam1,0.004463547693833691
Araf,0.004463547693833691
Stk11,0.004463547693833691
Trp53,0.004463547693833691
Akr1b7,0.004463547693833691
Ctsb,0.004463547693833691
Nom1,0.004463547693833691
Gstt1,0.004463547693833691
Tbx21,0.004463547693833691
Grin2d,0.004298231112580592
Lim2,0.004298231112580592
Fgf6,0.004298231112580592
Il27ra,0.004298231112580592
Peds1,0.004298231112580592
Gab2,0.004298231112580592
Alox12,0.004298231112580592
Fancl,0.004298231112580592
Ift46,0.004132914531327492
Hspb1,0.004132914531327492
Ccl24,0.004132914531327492
Wnt6,0.004132914531327492
Acvr1b,0.004132914531327492
Trim28,0.004132914531327492
Wnt10a,0.004132914531327492
Sec24b,0.004132914531327492
Lamb1,0.004132914531327492
Col6a2,0.003967597950074392
Cd79a,0.003967597950074392
Efnb2,0.003967597950074392
Gars1,0.003967597950074392
Pdgfb,0.003967597950074392
Agpat3,0.003967597950074392
Fgf23,0.003967597950074392
Ccl12,0.003967597950074392
Tyr,0.0038022813688212923
Snf8,0.0038022813688212923
Emd,0.0038022813688212923
Tat,0.0038022813688212923
Col6a1,0.0038022813688212923
Actn3,0.0038022813688212923
Tgfb3,0.0038022813688212923
Cyp51,0.0038022813688212923
Lbr,0.0038022813688212923
Hspa1l,0.0038022813688212923
Msh4,0.003636964787568193
Chmp1a,0.003636964787568193
Slc4a1,0.003636964787568193
Epha2,0.003636964787568193
Rhoc,0.003636964787568193
Scrib,0.003636964787568193
Ell2,0.003636964787568193
Efna2,0.0034716482063150934
Lpcat3,0.0034716482063150934
Ncr1,0.0034716482063150934
Ube2m,0.0034716482063150934
Tinf2,0.0034716482063150934
Efnb3,0.0034716482063150934
Pon1,0.0034716482063150934
Srm,0.0033063316250619935
Gtpbp3,0.0033063316250619935
Hars1,0.0033063316250619935
Ppp2r5d,0.0033063316250619935
Plxna3,0.0033063316250619935
Cd3g,0.0033063316250619935
Pcnt,0.0033063316250619935
Il12rb1,0.0033063316250619935
Mthfd2,0.0033063316250619935
Nphs1,0.0033063316250619935
Tph2,0.0033063316250619935
Ap4e1,0.0033063316250619935
Bloc1s6,0.0033063316250619935
Sox9,0.0031410150438088936
